teamname,did_draw_since,non_draw_in_a_row,non_draw_in_a_row_since,draw_games_prop,draw_games_prop_since,last_non_draw_games
Girona,1,33.33,73.33,30.96,40.62,26.67
Ponferradina,1,0.00,60.00,33.63,37.50,6.67
Sabadell,1,13.33,13.33,24.78,18.75,13.33
Murcia,1,0.00,80.00,29.95,40.62,13.33
Huesca,0,0.00,100.00,31.90,33.33,0.00
Villarreal B,0,13.33,100.00,23.02,0.00,60.00
Cartagena,0,26.67,100.00,25.40,0.00,26.67
Gimnastic,0,20.00,100.00,29.76,0.00,20.00
Salamanca,0,33.33,100.00,25.40,0.00,0.00
Wolfsburg,1,0.00,53.33,23.71,12.50,46.67
Bayern Munich,1,0.00,0.00,18.04,8.33,100.00
Leverkusen,1,0.00,0.00,24.74,8.33,0.00
Dortmund,1,6.67,40.00,24.23,12.50,40.00
Freiburg,1,0.00,33.33,22.68,29.17,6.67
Ein Frankfurt,0,33.33,73.33,26.29,33.33,0.00
Hamburg,1,6.67,40.00,25.26,20.83,0.00
FC Koln,1,0.00,33.33,24.74,33.33,6.67
Schalke 04,1,0.00,66.67,20.00,20.00,20.00
Hannover,1,0.00,60.00,21.65,20.83,0.00
Werder Bremen,1,40.00,73.33,28.87,29.17,13.33
Hertha,1,26.67,46.67,23.71,25.00,0.00
Augsburg,1,0.00,60.00,29.23,20.00,13.33
Hoffenheim,1,13.33,66.67,28.35,33.33,13.33
Stuttgart,1,13.33,13.33,22.16,20.83,0.00
M'gladbach,1,0.00,46.67,24.74,25.00,6.67
Mainz,0,0.00,60.00,27.32,20.83,0.00
Paderborn,1,26.67,66.67,26.71,24.00,20.00
Nurnberg,0,26.67,53.33,28.35,45.83,46.67
Fortuna Dusseldorf,1,0.00,33.33,27.50,33.33,0.00
Greuther Furth,1,0.00,6.67,25.26,16.67,13.33
Kaiserslautern,1,20.00,20.00,27.84,16.67,80.00
St Pauli,1,0.00,53.33,19.69,20.83,26.67
Bochum,1,13.33,53.33,24.10,24.00,20.00
Bielefeld,1,13.33,20.00,26.19,16.67,26.67
Cottbus,1,40.00,40.00,25.26,20.83,20.00
Karlsruhe,1,0.00,73.33,22.50,37.50,20.00
Ingolstadt,1,33.33,60.00,31.68,24.00,6.67
Frankfurt FSV,1,6.67,60.00,27.18,24.00,40.00
Union Berlin,1,40.00,66.67,26.88,29.17,0.00
Erzgebirge Aue,1,0.00,86.67,26.98,20.83,6.67
Munich 1860,0,13.33,53.33,27.84,29.17,6.67
Duisburg,0,20.00,100.00,27.65,0.00,13.33
Aachen,0,20.00,100.00,29.41,0.00,33.33
Hansa Rostock,0,0.00,100.00,31.37,0.00,0.00
Oberhausen,0,53.33,100.00,20.59,0.00,26.67
Juventus,0,0.00,0.00,25.35,11.11,26.67
Chievo,0,20.00,40.00,29.03,22.22,40.00
Fiorentina,1,6.67,26.67,24.88,22.22,13.33
Roma,0,0.00,66.67,22.69,26.92,6.67
Verona,0,33.33,33.33,23.42,14.81,6.67
Atalanta,0,0.00,46.67,24.89,14.81,13.33
Parma,1,20.00,66.67,33.18,38.46,13.33
Cesena,1,20.00,86.67,32.45,46.43,6.67
Napoli,1,20.00,40.00,27.65,25.93,6.67
Genoa,1,0.00,66.67,27.65,29.63,13.33
Lazio,1,0.00,66.67,21.66,29.63,26.67
Milan,1,33.33,66.67,24.42,29.63,33.33
Sampdoria,1,26.67,60.00,30.77,25.93,40.00
Palermo,1,20.00,60.00,24.77,28.57,13.33
Cagliari,1,0.00,60.00,29.03,40.74,0.00
Sassuolo,1,13.33,20.00,30.38,22.22,0.00
Inter,1,0.00,80.00,23.04,40.74,6.67
Torino,1,26.67,66.67,30.57,33.33,33.33
Empoli,0,33.33,66.67,31.93,35.71,6.67
Udinese,1,26.67,26.67,24.42,14.81,13.33
Livorno,1,6.67,60.00,30.47,22.22,6.67
Bologna,1,33.33,66.67,31.34,40.74,0.00
Catania,0,13.33,60.00,30.41,29.63,0.00
Pescara,1,6.67,26.67,18.54,27.59,13.33
Siena,1,26.67,80.00,29.28,46.43,6.67
Novara,1,0.00,66.67,31.33,35.71,6.67
Lecce,0,33.33,100.00,32.05,0.00,13.33
Bari,1,40.00,40.00,29.57,28.57,60.00
Brescia,0,6.67,73.33,32.05,46.43,20.00
Reggina,1,40.00,40.00,31.20,25.00,20.00
Crotone,1,13.33,46.67,30.61,21.43,40.00
Frosinone,1,40.00,100.00,28.57,0.00,33.33
Varese,1,33.33,53.33,34.42,32.14,13.33
Cittadella,1,13.33,60.00,32.77,39.29,6.67
Modena,1,26.67,60.00,33.61,32.14,0.00
Vicenza,1,13.33,100.00,30.95,0.00,0.00
Padova,1,40.00,53.33,33.67,28.57,0.00
Juve Stabia,1,33.33,80.00,32.14,32.14,13.33
Grosseto,0,13.33,100.00,34.76,0.00,13.33
Ascoli,0,26.67,100.00,26.67,0.00,6.67
Albinoleffe,0,26.67,100.00,28.57,0.00,0.00
Piacenza,0,33.33,100.00,31.20,0.00,26.67
Triestina,0,46.67,100.00,30.95,0.00,46.67
Paris SG,1,33.33,53.33,26.61,24.14,26.67
Reims,1,53.33,60.00,34.25,36.67,0.00
Marseille,1,33.33,66.67,28.31,30.00,0.00
Bastia,1,0.00,53.33,22.78,27.59,6.67
Caen,1,26.67,53.33,32.26,21.43,0.00
Evian Thonon Gaillard,1,33.33,73.33,30.28,31.03,20.00
St Etienne,1,13.33,53.33,27.52,24.14,20.00
Guingamp,1,26.67,60.00,33.33,27.59,40.00
Metz,1,13.33,26.67,32.78,21.43,26.67
Lille,1,13.33,66.67,29.82,27.59,13.33
Bordeaux,1,0.00,40.00,30.28,24.14,60.00
Montpellier,1,0.00,80.00,26.61,51.72,6.67
Lens,1,53.33,66.67,33.64,32.14,6.67
Nantes,1,20.00,40.00,27.06,20.69,0.00
Toulouse,1,0.00,53.33,30.73,31.03,33.33
Nice,1,0.00,0.00,27.98,13.79,20.00
Rennes,1,13.33,66.67,29.36,34.48,20.00
Lyon,1,0.00,60.00,28.44,31.03,6.67
Lorient,1,13.33,60.00,30.73,20.69,6.67
Monaco,1,26.67,60.00,33.49,27.59,26.67
Sochaux,1,0.00,53.33,24.77,27.59,13.33
Valenciennes,1,13.33,73.33,31.19,24.14,13.33
Ajaccio,1,33.33,66.67,32.57,31.03,0.00
Brest,1,0.00,73.33,26.27,32.14,6.67
Nancy,1,20.00,60.00,28.90,34.48,0.00
Troyes,1,26.67,60.00,27.78,20.69,13.33
Auxerre,1,0.00,66.67,32.11,34.48,6.67
Dijon,1,40.00,80.00,32.57,41.38,6.67
Arles,1,40.00,53.33,37.99,42.86,13.33
Grenoble,0,6.67,100.00,29.82,0.00,6.67
Le Mans,0,26.67,100.00,25.26,0.00,26.67
Boulogne,0,0.00,100.00,28.95,0.00,33.33
Le Havre,1,0.00,73.33,29.82,44.83,6.67
Chateauroux,1,46.67,46.67,29.82,17.24,20.00
Laval,1,20.00,73.33,35.00,27.59,26.67
Angers,1,13.33,66.67,32.41,37.04,6.67
Nimes,1,33.33,60.00,27.37,32.14,13.33
Tours,1,33.33,33.33,30.28,20.69,13.33
Clermont,1,33.33,66.67,34.86,41.38,0.00
Istres,1,26.67,33.33,29.44,27.59,0.00
Sedan,0,40.00,100.00,36.32,100.00,0.00
Vannes,0,26.67,100.00,26.32,0.00,33.33
Utrecht,1,0.00,20.00,26.53,22.22,6.67
Twente,1,6.67,73.33,26.40,37.04,6.67
Heerenveen,1,0.00,66.67,25.38,25.93,13.33
AZ Alkmaar,1,6.67,40.00,19.80,14.81,20.00
Heracles,1,20.00,66.67,23.98,22.22,13.33
NAC Breda,1,20.00,60.00,22.84,29.63,6.67
Vitesse,1,26.67,60.00,24.49,25.93,26.67
Ajax,1,0.00,40.00,20.41,25.93,0.00
Feyenoord,1,40.00,53.33,24.49,22.22,13.33
Den Haag,1,26.67,46.67,24.87,18.52,0.00
Groningen,0,0.00,66.67,20.92,33.33,6.67
PSV Eindhoven,0,0.00,13.33,20.30,18.52,86.67
Willem II,0,0.00,100.00,17.04,0.00,73.33
Roda,1,0.00,46.67,25.78,25.93,53.33
Nijmegen,1,13.33,53.33,30.46,37.04,6.67
Waalwijk,1,33.33,60.00,19.23,32.14,6.67
VVV Venlo,0,0.00,100.00,20.59,0.00,6.67
Graafschap,0,20.00,100.00,25.74,0.00,6.67
Charleroi,1,20.00,40.00,23.84,34.48,0.00
Standard,1,0.00,40.00,20.99,20.69,60.00
Gent,1,20.00,20.00,24.31,27.59,20.00
Cercle Brugge,1,6.67,20.00,18.78,20.69,26.67
Lierse,1,0.00,0.00,34.45,17.24,0.00
Club Brugge,1,0.00,40.00,19.34,20.69,0.00
Lokeren,1,0.00,53.33,28.73,20.69,0.00
Westerlo,1,26.67,100.00,22.95,0.00,60.00
Anderlecht,1,0.00,53.33,18.23,10.34,26.67
Genk,1,0.00,0.00,22.65,6.90,100.00
Mechelen,0,0.00,60.00,22.65,24.14,20.00
Kortrijk,1,20.00,20.00,25.41,27.59,0.00
Waregem,1,26.67,66.67,32.60,37.93,0.00
Bergen,0,26.67,26.67,22.76,13.79,73.33
Germinal,0,33.33,100.00,27.63,0.00,20.00
Maritimo,1,26.67,46.67,29.65,27.27,26.67
Porto,0,0.00,33.33,18.02,18.18,6.67
Sp Lisbon,1,6.67,46.67,25.58,27.27,0.00
Academica,1,40.00,60.00,30.64,34.78,0.00
Guimaraes,1,33.33,40.00,20.93,13.64,6.67
Pacos Ferreira,1,46.67,60.00,30.23,18.18,40.00
Benfica,1,0.00,66.67,17.44,18.18,33.33
Nacional,1,40.00,60.00,27.33,45.45,6.67
Setubal,1,0.00,33.33,23.84,22.73,0.00
Rio Ave,1,20.00,46.67,26.74,27.27,0.00
Sp Braga,1,0.00,80.00,20.81,17.39,0.00
Olhanense,1,46.67,46.67,38.03,22.73,0.00
Genclerbirligi,1,40.00,40.00,30.21,16.67,13.33
Galatasaray,1,26.67,60.00,22.80,40.00,0.00
Bursaspor,1,13.33,66.67,29.17,29.17,26.67
Kasimpasa,1,6.67,73.33,28.23,33.33,0.00
Buyuksehyr,1,20.00,100.00,22.02,0.00,40.00
Eskisehirspor,1,13.33,40.00,30.21,25.00,6.67
Besiktas,1,0.00,66.67,28.12,29.17,6.67
Trabzonspor,1,0.00,60.00,25.65,30.43,0.00
Karabukspor,1,33.33,73.33,22.05,32.00,0.00
Fenerbahce,1,0.00,46.67,17.80,13.04,6.67
Gaziantepspor,1,6.67,46.67,29.17,20.83,13.33
Sivasspor,1,33.33,60.00,27.08,12.50,20.00
Antalyaspor,1,13.33,66.67,27.60,41.67,6.67
Kayserispor,1,6.67,66.67,25.00,29.17,33.33
Ankaragucu,0,0.00,100.00,26.87,0.00,100.00
Panthrakikos,1,0.00,46.67,18.64,25.00,40.00
OFI,0,26.67,40.00,29.66,39.29,0.00
Olympiakos,1,0.00,13.33,13.48,7.14,60.00
Atromitos,1,46.67,46.67,35.14,25.00,53.33
Asteras Tripolis,1,33.33,53.33,26.97,32.14,46.67
Giannina,1,0.00,0.00,22.03,10.71,0.00
Panathinaikos,1,0.00,46.67,22.47,17.86,13.33
Levadeiakos,1,0.00,0.00,18.92,10.71,33.33
PAOK,1,20.00,33.33,22.47,14.29,6.67
Xanthi,0,26.67,53.33,25.84,17.86,40.00
Ergotelis,0,6.67,66.67,29.05,39.29,6.67
Panionios,1,0.00,46.67,24.72,25.00,6.67
Aris,1,26.67,60.00,31.46,35.71,6.67
AEK,0,40.00,100.00,27.33,0.00,20.00
